O Brother, Where Art Thou? (2000)	Durning, Charles	2000
Notorious (1946)	Mendl, Charles	1946
The Ten Commandments (1956)	Getchell, Emily	1956
Riza (2007)	Ahmedi, Melissa	2007
Seven Pounds (2008)	Watson, George F. (I)	2008
Sunset Blvd. (1950)	Hopper, Hedda	1950
The Wrestler (2008)	Markland, David John	2008
Say Anything... (1989)	Skye, Ione	1989
Spartacus (1960)	Van Horn, Buddy	1960
The Ten Commandments (1956)	Macollum, Barry	1956
Gandhi (1982)	Gupta, Rahul (I)	1982
Rise of the Planet of the Apes (2011)	Harrison, BJ	2011
Sunset Blvd. (1950)	Gough, Lloyd	1950
Man on the Moon (1999)	Aylesworth, Reiko	1999
The Dark Knight (2008)	Kosik, Thomas	2008
Ridin' Dirty (2007) (V)	Pacino, Isabella	2007
Poltergeist (1982)	Nelson, Craig T.	1982
Harry Potter and the Sorcerer's Stone (2001)	Walters, Julie (I)	2001
Cidade de Deus (2002)	Batista, Leandro Dias	2002
Terminator 2: Judgment Day (1991)	Albanese, Michael (I)	1991
Casino Royale (2006)	Murino, Caterina	2006
The Godfather (1972)	Coppola, Sofia	1972
Road to Victory (2007)	Reilly, Mike (VII)	2007
Me and You and Everyone We Know (2005)	Griffith-Young, Kwinci	2005
The Man Who Would Be King (1975)	Atbib, Nadia	1975
Collateral (2004)	Foxx, Jamie	2004
Monster Man (2003)	Brooks, Aimee	2003
Lost Highway (1997)	Anka, Amanda	1997
Warrior (2011)	Johnson, Anthony (XII)	2011
Blue Valentine (2010)	Plunkett, Maryann	2010
Ripple Effect (2007)	Cunningham, Stacy	2007
Love Actually (2003)	Lincoln, Andrew (I)	2003
The Silence of the Lambs (1991)	Hopkins, Anthony (I)	1991
Waking Life (2001)	Sosa, David (I)	2001
Rear Window (1954)	Kelly, Grace (I)	1954
American Graffiti (1973)	Dorsett, Chuck	1973
Harry Potter and the Goblet of Fire (2005) (VG)	Chillin, Gregg	2005
Hadaka no Jukyu-sai (1970)	Toura, Rokko	1970
